ref_count,n2_year,n2,n1,n1_year
8,2020,616,616,2018
18,2021,616,616,2019
11,2021,616,616,2021
17,2021,616,616,2020
13,2021,616,616,2017
10,2021,616,616,2018
6,2021,616,616,2016
5,2019,624,2381,2017
6,2021,624,1149,2018
5,2016,631,631,2011
5,2017,631,631,2014
5,2017,631,631,2016
5,2019,631,3568,2017
5,2020,631,631,2011
6,2020,631,3568,2018
6,2020,631,3568,2019
6,2020,631,631,2016
6,2021,631,3568,2018
5,2021,631,631,2019
6,2021,635,635,2019
5,2021,635,148,2019
8,2021,635,635,2020
5,2021,635,1149,2019
7,2012,636,636,2010
7,2012,636,636,2011
6,2016,636,636,2014
7,2012,690,690,2010
8,2013,690,690,2011
8,2013,690,690,2012
9,2013,690,690,2010
5,2014,690,690,2013
9,2014,690,690,2011
7,2014,690,690,2012
12,2014,690,690,2010
6,2015,690,690,2011
8,2015,690,690,2014
8,2015,690,690,2013
11,2015,690,690,2010
7,2015,690,690,2012
12,2016,690,690,2012
14,2016,690,690,2014
9,2016,690,690,2016
11,2016,690,690,2015
7,2016,690,690,2011
15,2016,690,690,2010
9,2016,690,690,2013
8,2017,690,690,2016
7,2017,690,690,2015
9,2017,690,690,2014
6,2017,690,690,2010
5,2017,690,690,2011
5,2018,690,690,2012
5,2018,690,690,2011
5,2018,690,690,2015
5,2018,690,690,2017
7,2018,690,690,2010
5,2018,690,690,2013
15,2018,690,690,2016
8,2018,690,690,2014
7,2019,690,690,2017
5,2019,690,690,2010
9,2019,690,690,2015
6,2019,690,690,2012
9,2019,690,690,2018
10,2019,690,690,2016
6,2019,690,690,2013
10,2019,690,690,2014
6,2020,690,690,2014
6,2020,690,690,2019
12,2020,690,690,2018
6,2020,690,690,2016
8,2020,690,690,2015
5,2021,690,690,2016
7,2021,690,690,2010
5,2021,690,690,2019
5,2021,690,690,2018
5,2014,731,731,2013
5,2017,731,731,2013
5,2019,731,731,2013
5,2020,731,731,2019
6,2021,731,731,2020
5,2021,731,731,2019
6,2021,731,731,2013
5,2021,746,13252,2017
5,2016,749,749,2013
5,2016,749,749,2012
6,2017,749,749,2014
6,2017,749,749,2013
6,2018,749,749,2014
7,2018,749,749,2016
5,2019,749,749,2014
6,2020,749,749,2016
6,2020,749,749,2014
6,2021,749,749,2014
6,2021,749,749,2018
5,2017,791,791,2016
6,2019,791,791,2018
6,2020,791,791,2018
5,2020,791,791,2019
7,2020,791,791,2017
9,2021,791,791,2017
7,2021,791,791,2018
8,2021,791,791,2019
5,2021,791,791,2016
11,2021,791,791,2020
5,2019,793,793,2017
6,2021,793,793,2017
5,2018,806,7991,2017
5,2018,806,806,2017
6,2019,806,1149,2017
5,2019,806,1149,2018
6,2019,806,7991,2018
5,2019,806,3104,2018
9,2019,806,806,2019
5,2019,806,7991,2017
6,2019,806,7991,2019
6,2019,806,806,2017
5,2019,806,806,2018
